Crop year,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Panama,215,193,197,142,248,209,211,217,192,166,170,160,140,172,90,176,173,176,149,138,114,106,116,113,106,127,120,105,130
Sierra Leone,43,54,39,37,73,44,41,50,27,59,49,79,42,36,15,60,31,40,86,91,33,78,61,32,46,46,38,38,31
Sri Lanka,96,82,53,54,42,36,37,58,46,32,33,32,34,37,32,35,33,33,31,32,37,36,35,37,36,36,37,37,36
Thailand,757,"1,469","1,255","1,275","1,399","1,317","1,404","1,293",916,"1,273","1,692",715,732,827,884,"1,064",822,650,675,795,828,831,608,638,845,762,538,638,482
Togo,161,433,86,195,176,84,291,221,321,263,197,112,68,144,166,140,134,125,138,202,160,160,84,172,143,81,23,115,74
Trinidad & Tobago,15,18,14,16,18,18,18,19,17,17,16,16,17,16,15,15,12,12,11,11,10,11,12,12,12,12,12,12,12
Uganda,"1,955","2,088","2,185","3,142","2,393","3,244","3,419","3,440","3,386","2,862","3,401","3,158","2,890","2,599","2,613","2,175","2,894","3,490","3,335","2,894","3,267","3,115","3,914","3,633","3,744","3,650","4,962","4,597","4,704"
Venezuela,"1,122",941,"1,215","1,333",989,"1,467","1,206",951,"1,597","1,367","1,450","1,265","1,484","1,421","1,327","1,506","1,571","1,520",932,"1,214","1,202",902,952,804,650,500,525,572,525
Viet Nam,"1,310","1,438","2,340","3,020","3,632","3,970","5,752","6,979","7,052","11,631","14,841","13,093","11,574","15,337","14,370","13,842","19,340","16,405","18,438","17,825","20,000","26,500","23,402","27,610","26,500","28,737","25,540","27,888","31,174"
Yemen,0,0,0,0,0,0,0,0,69,61,64,62,57,193,206,203,207,198,220,135,161,185,188,187,178,156,143,132,106
