Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brazil,BRA,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,65.4088449772594,77.6168379979129,67.0609170956757,48.5047281930591,45.6378187136298,48.3404374437697,46.4473988422892,43.7791527193086,41.2403264794732,35.0225154651078,35.3667577931037,34.7920096447121,29.1158055318831,32.8334928312655,26.5820297289778,18.4988716075334,22.403672441435,33.832343966101,40.6983614489962,41.7603044530048,34.6591866882179,31.9917025996146,..
Colombia,COL,Real interest rate (%),FR.INR.RINR,-5.0982308250982,15.286572758326,11.4580593659343,8.35840500316381,14.5466691689346,19.5413245382102,20.9582073168996,14.4388808948876,23.3781484646528,14.9195708997397,-11.13795591854,13.3324808384727,9.77520490050366,7.82379797812032,7.27050966235802,6.6972959736936,9.67644438040684,8.82101697806755,8.594547353573,5.3722240266131,4.54296484242238,8.65535095377731,8.90797441037777,8.44294935194344,8.78547373201402,9.0320950572264,8.13449112757925,7.30392956608438,7.17593620813133,..
Honduras,HND,Real interest rate (%),FR.INR.RINR,-6.36650751568245,-3.49108558147936,17.3709215892184,10.0530685105572,2.74949093468393,2.61573640429569,9.77048756186494,13.0595427652839,18.4892936720915,20.9868650553821,17.436909825413,14.5070191720074,16.7023341391041,14.2250659198218,12.6107713947498,11.4742824482469,9.35938603880539,9.41284412222124,10.9529575160613,13.5547928877014,9.97180699233077,14.3569629848232,18.4532824160285,12.8806218683924,12.8349768268253,15.0985365589809,14.1091275837915,15.5984558780136,12.4601268621784,..
Ethiopia,ETH,Real interest rate (%),FR.INR.RINR,2.64218947635437,-10.987419133432,-6.51958885269189,0.549614666500464,11.0775592881639,2.10898839530452,13.6448986191877,10.2721165368978,10.6661617381336,8.17718747809108,1.30356860624756,17.63548320435,12.7439479024639,-5.11490798465178,2.97237710176469,-4.08090892973127,-8.29255368266441,-17.121776241397,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,Real interest rate (%),FR.INR.RINR,-3.95720976546452,6.6635249704081,-4.10629276490319,..,13.0219188783347,9.86141310940886,15.0342472460807,17.7268705686661,11.1006860771917,21.6868316485691,10.621614269532,17.3344956753024,22.9955928413426,10.3290387314545,4.339243936531,15.9090043538354,10.9806235431352,13.2429702971161,-34.2103090282871,13.7612146493614,11.3734989299252,21.4880791452224,19.0146300183177,15.6773841191737,16.5546646062874,18.2333937260247,15.8058887115238,15.1396759058694,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
